state/ut,cnfrmd,actv,rcvd,dcsd
Foreign Evacuees,111,111,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Anantapur,136,40,92,4
state/ut,cnfrmd,actv,rcvd,dcsd
Chittoor,208,110,97,1
state/ut,cnfrmd,actv,rcvd,dcsd
East Godavari,59,16,43,0
state/ut,cnfrmd,actv,rcvd,dcsd
Guntur,426,90,328,8
state/ut,cnfrmd,actv,rcvd,dcsd
Krishna,396,100,280,16
state/ut,cnfrmd,actv,rcvd,dcsd
Kurnool,638,170,447,21
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,153,47,106,0
state/ut,cnfrmd,actv,rcvd,dcsd
Prakasam,67,4,63,0
state/ut,cnfrmd,actv,rcvd,dcsd
S.P.S. Nellore,182,75,103,4
state/ut,cnfrmd,actv,rcvd,dcsd
Srikakulam,16,11,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Visakhapatnam,81,33,47,1
state/ut,cnfrmd,actv,rcvd,dcsd
Vizianagaram,16,12,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Godavari,75,21,54,0
state/ut,cnfrmd,actv,rcvd,dcsd
Y.S.R. Kadapa,107,31,76,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,312,38,272,2
