state/ut,cnfrmd,actv,rcvd,dcsd
Anjaw,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Changlang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Kameng,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Siang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kamle,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kra Daadi,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kurung Kumey,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lepa Rada,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lohit,1,0,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Longding,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lower Dibang Valley,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lower Siang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lower Subansiri,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Namsai,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pakke Kessang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Papum Pare,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shi Yomi,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Siang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tawang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tirap,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Upper Dibang Valley,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Upper Siang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Upper Subansiri,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Kameng,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Siang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,1,1,0,0
