state/ut,cnfrmd,actv,rcvd,dcsd
Araria,14,12,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Arwal,34,24,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Aurangabad,59,41,18,0
state/ut,cnfrmd,actv,rcvd,dcsd
Banka,105,100,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Begusarai,157,125,31,1
state/ut,cnfrmd,actv,rcvd,dcsd
Bhagalpur,95,66,29,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bhojpur,47,24,23,0
state/ut,cnfrmd,actv,rcvd,dcsd
Buxar,114,55,59,0
state/ut,cnfrmd,actv,rcvd,dcsd
Darbhanga,65,57,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Champaran,83,71,11,1
state/ut,cnfrmd,actv,rcvd,dcsd
Gaya,53,47,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gopalganj,99,49,50,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jamui,29,29,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jehanabad,112,105,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kaimur,49,17,32,0
state/ut,cnfrmd,actv,rcvd,dcsd
Katihar,134,125,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Khagaria,145,126,17,2
state/ut,cnfrmd,actv,rcvd,dcsd
Kishanganj,31,19,12,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lakhisarai,32,27,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Madhepura,43,34,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Madhubani,177,156,21,0
state/ut,cnfrmd,actv,rcvd,dcsd
Munger,148,41,106,1
state/ut,cnfrmd,actv,rcvd,dcsd
Muzaffarpur,38,21,17,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nalanda,91,20,70,1
state/ut,cnfrmd,actv,rcvd,dcsd
Nawada,70,51,19,0
state/ut,cnfrmd,actv,rcvd,dcsd
Patna,217,141,74,2
state/ut,cnfrmd,actv,rcvd,dcsd
Purnia,45,43,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rohtas,201,141,59,1
state/ut,cnfrmd,actv,rcvd,dcsd
Saharsa,54,52,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Samastipur,62,59,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Saran,43,34,8,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sheikhpura,52,45,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sheohar,7,5,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sitamarhi,39,32,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Siwan,66,24,41,1
state/ut,cnfrmd,actv,rcvd,dcsd
Supaul,57,54,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Vaishali,59,51,6,2
state/ut,cnfrmd,actv,rcvd,dcsd
West Champaran,42,31,11,0
