state/ut,cnfrmd,actv,rcvd,dcsd
Balod,24,16,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Baloda Bazar,19,17,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Balrampur,9,9,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bametara,15,15,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bastar,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bijapur,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bilaspur,42,41,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dakshin Bastar Dantewada,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dhamtari,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Durg,10,0,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gariaband,5,4,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Janjgir Champa,15,10,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jashpur,3,3,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kabeerdham,13,6,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kondagaon,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Korba,41,12,29,0
state/ut,cnfrmd,actv,rcvd,dcsd
Koriya,8,7,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mahasamund,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mungeli,70,70,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Narayanpur,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Raigarh,10,10,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Raipur,9,2,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rajnandgaon,35,34,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sukma,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Surajpur,8,1,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Surguja,7,7,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Uttar Bastar Kanker,12,12,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gaurela Pendra Marwahi,3,3,0,0
