state/ut,cnfrmd,actv,rcvd,dcsd
Central Delhi,184,184,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Delhi,38,38,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
New Delhi,37,37,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
North Delhi,60,60,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
North East Delhi,25,25,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
North West Delhi,32,31,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Shahdara,48,48,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South Delhi,70,70,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South East Delhi,130,130,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South West Delhi,42,42,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Delhi,122,122,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,13677,6436,6954,287
