state/ut,cnfrmd,actv,rcvd,dcsd
Other State,8,8,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ahmedabad,10841,5473,4623,745
state/ut,cnfrmd,actv,rcvd,dcsd
Amreli,7,7,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Anand,93,6,77,10
state/ut,cnfrmd,actv,rcvd,dcsd
Aravalli,101,21,77,3
state/ut,cnfrmd,actv,rcvd,dcsd
Banaskantha,102,20,78,4
state/ut,cnfrmd,actv,rcvd,dcsd
Bharuch,37,5,29,3
state/ut,cnfrmd,actv,rcvd,dcsd
Bhavnagar,119,20,91,8
state/ut,cnfrmd,actv,rcvd,dcsd
Botad,57,2,54,1
state/ut,cnfrmd,actv,rcvd,dcsd
Chhota Udaipur,22,1,21,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dahod,36,18,18,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dang,2,0,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Devbhumi Dwarka,12,1,11,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gandhinagar,232,94,125,13
state/ut,cnfrmd,actv,rcvd,dcsd
Gir Somnath,44,22,22,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jamnagar,52,19,31,2
state/ut,cnfrmd,actv,rcvd,dcsd
Junagadh,27,19,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kheda,63,18,41,4
state/ut,cnfrmd,actv,rcvd,dcsd
Kutch,66,53,12,1
state/ut,cnfrmd,actv,rcvd,dcsd
Mahisagar,91,49,41,1
state/ut,cnfrmd,actv,rcvd,dcsd
Mehsana,103,41,58,4
state/ut,cnfrmd,actv,rcvd,dcsd
Morbi,3,1,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Narmada,18,5,13,0
state/ut,cnfrmd,actv,rcvd,dcsd
Navsari,18,10,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Panchmahal,78,4,67,7
state/ut,cnfrmd,actv,rcvd,dcsd
Patan,73,25,43,5
state/ut,cnfrmd,actv,rcvd,dcsd
Porbandar,7,3,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rajkot,94,25,67,2
state/ut,cnfrmd,actv,rcvd,dcsd
Sabarkantha,97,65,29,3
state/ut,cnfrmd,actv,rcvd,dcsd
Surat,1387,368,956,63
state/ut,cnfrmd,actv,rcvd,dcsd
Surendranagar,25,20,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tapi,6,4,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Vadodara,885,331,519,35
state/ut,cnfrmd,actv,rcvd,dcsd
Valsad,23,17,5,1
