state/ut,cnfrmd,actv,rcvd,dcsd
Foreign Evacuees,21,21,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ambala,47,5,40,2
state/ut,cnfrmd,actv,rcvd,dcsd
Bhiwani,11,5,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Charkhi Dadri,7,6,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Faridabad,233,107,120,6
state/ut,cnfrmd,actv,rcvd,dcsd
Fatehabad,9,3,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gurugram,317,132,183,2
state/ut,cnfrmd,actv,rcvd,dcsd
Hisar,22,19,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Italians,14,0,14,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jhajjar,93,3,90,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jind,27,9,18,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kaithal,6,2,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Karnal,36,19,16,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kurukshetra,21,18,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mahendragarh,33,27,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nuh,66,1,65,0
state/ut,cnfrmd,actv,rcvd,dcsd
Palwal,43,4,39,0
state/ut,cnfrmd,actv,rcvd,dcsd
Panchkula,25,1,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Panipat,59,23,33,3
state/ut,cnfrmd,actv,rcvd,dcsd
Rewari,18,17,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rohtak,16,4,11,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sirsa,10,1,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sonipat,163,38,124,1
state/ut,cnfrmd,actv,rcvd,dcsd
Yamunanagar,8,0,8,0
