state/ut,cnfrmd,actv,rcvd,dcsd
Bilaspur,11,7,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chamba,20,9,11,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hamirpur,78,71,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kangra,62,45,16,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kinnaur,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kullu,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lahaul and Spiti,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mandi,11,9,1,1
state/ut,cnfrmd,actv,rcvd,dcsd
Shimla,9,8,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sirmaur,4,2,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Solan,20,14,5,1
state/ut,cnfrmd,actv,rcvd,dcsd
Una,31,14,17,0
