state/ut,cnfrmd,actv,rcvd,dcsd
Anantnag,278,161,113,4
state/ut,cnfrmd,actv,rcvd,dcsd
Bandipora,144,12,131,1
state/ut,cnfrmd,actv,rcvd,dcsd
Baramulla,143,41,98,4
state/ut,cnfrmd,actv,rcvd,dcsd
Budgam,76,27,47,2
state/ut,cnfrmd,actv,rcvd,dcsd
Doda,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ganderbal,31,7,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jammu,109,73,34,2
state/ut,cnfrmd,actv,rcvd,dcsd
Kathua,53,38,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kishtwar,7,6,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kulgam,228,207,17,4
state/ut,cnfrmd,actv,rcvd,dcsd
Kupwara,167,97,70,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mirpur,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Muzaffarabad,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pulwama,28,18,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Punch,12,12,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rajouri,13,9,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ramban,74,72,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Reasi,9,6,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Samba,29,19,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shopiyan,129,22,107,0
state/ut,cnfrmd,actv,rcvd,dcsd
Srinagar,188,56,126,6
state/ut,cnfrmd,actv,rcvd,dcsd
Udhampur,39,17,21,1
