state/ut,cnfrmd,actv,rcvd,dcsd
Bokaro,17,7,9,1
state/ut,cnfrmd,actv,rcvd,dcsd
Chatra,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Deoghar,5,0,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dhanbad,11,9,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dumka,2,0,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Singhbhum,28,28,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Garhwa,55,52,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Giridih,16,13,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Godda,1,0,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gumla,11,11,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hazaribagh,48,40,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jamtara,2,0,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Khunti,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Koderma,31,29,1,1
state/ut,cnfrmd,actv,rcvd,dcsd
Latehar,9,9,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lohardaga,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pakur,4,4,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Palamu,17,2,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ramgarh,11,11,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ranchi,126,24,100,2
state/ut,cnfrmd,actv,rcvd,dcsd
Sahibganj,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Saraikela-Kharsawan,4,4,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Simdega,10,8,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Singhbhum,14,14,0,0
