state/ut,cnfrmd,actv,rcvd,dcsd
Bagalkote,78,7,70,1
state/ut,cnfrmd,actv,rcvd,dcsd
Ballari,37,23,13,1
state/ut,cnfrmd,actv,rcvd,dcsd
Belagavi,141,60,80,1
state/ut,cnfrmd,actv,rcvd,dcsd
Bengaluru Rural,11,4,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Bengaluru Urban,278,118,150,10
state/ut,cnfrmd,actv,rcvd,dcsd
Bidar,96,73,21,2
state/ut,cnfrmd,actv,rcvd,dcsd
Chamarajanagara,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chikkaballapura,127,106,19,2
state/ut,cnfrmd,actv,rcvd,dcsd
Chikkamagaluru,10,10,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chitradurga,31,26,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dakshina Kannada,67,45,15,6
state/ut,cnfrmd,actv,rcvd,dcsd
Davanagere,134,80,50,4
state/ut,cnfrmd,actv,rcvd,dcsd
Dharwad,43,33,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gadag,35,28,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Hassan,113,113,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Haveri,6,4,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kalaburagi,158,78,73,7
state/ut,cnfrmd,actv,rcvd,dcsd
Kodagu,3,2,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kolar,18,18,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Koppal,4,4,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mandya,254,227,27,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mysuru,90,2,88,0
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,22,1,20,1
state/ut,cnfrmd,actv,rcvd,dcsd
Raichur,66,66,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ramanagara,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shivamogga,36,36,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tumakuru,27,20,5,2
state/ut,cnfrmd,actv,rcvd,dcsd
Udupi,111,107,3,1
state/ut,cnfrmd,actv,rcvd,dcsd
Uttara Kannada,71,31,40,0
state/ut,cnfrmd,actv,rcvd,dcsd
Vijayapura,76,28,44,4
state/ut,cnfrmd,actv,rcvd,dcsd
Yadgir,139,139,0,0
