state/ut,cnfrmd,actv,rcvd,dcsd
Alappuzha,28,22,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ernakulam,39,11,27,1
state/ut,cnfrmd,actv,rcvd,dcsd
Idukki,26,2,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kannur,194,77,116,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kasaragod,232,41,191,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kollam,43,20,23,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kottayam,40,16,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kozhikode,51,26,25,0
state/ut,cnfrmd,actv,rcvd,dcsd
Malappuram,82,52,29,1
state/ut,cnfrmd,actv,rcvd,dcsd
Palakkad,96,81,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pathanamthitta,30,13,17,0
state/ut,cnfrmd,actv,rcvd,dcsd
Thiruvananthapuram,42,25,16,1
state/ut,cnfrmd,actv,rcvd,dcsd
Thrissur,38,22,15,1
state/ut,cnfrmd,actv,rcvd,dcsd
Wayanad,23,8,14,1
