state/ut,cnfrmd,actv,rcvd,dcsd
Agar Malwa,13,0,12,1
state/ut,cnfrmd,actv,rcvd,dcsd
Alirajpur,3,0,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Anuppur,3,0,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ashoknagar,12,9,2,1
state/ut,cnfrmd,actv,rcvd,dcsd
Balaghat,6,6,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Barwani,41,15,26,0
state/ut,cnfrmd,actv,rcvd,dcsd
Betul,21,20,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bhind,51,41,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bhopal,1303,428,826,49
state/ut,cnfrmd,actv,rcvd,dcsd
Burhanpur,293,181,99,13
state/ut,cnfrmd,actv,rcvd,dcsd
Chhatarpur,9,9,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chhindwara,5,0,4,1
state/ut,cnfrmd,actv,rcvd,dcsd
Damoh,10,9,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Datia,7,3,3,1
state/ut,cnfrmd,actv,rcvd,dcsd
Dewas,83,22,53,8
state/ut,cnfrmd,actv,rcvd,dcsd
Dhar,114,7,104,3
state/ut,cnfrmd,actv,rcvd,dcsd
Dindori,16,14,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Guna,2,1,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gwalior,117,75,40,2
state/ut,cnfrmd,actv,rcvd,dcsd
Harda,3,0,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hoshangabad,37,0,34,3
state/ut,cnfrmd,actv,rcvd,dcsd
Indore,3103,1502,1484,117
state/ut,cnfrmd,actv,rcvd,dcsd
Jabalpur,213,53,151,9
state/ut,cnfrmd,actv,rcvd,dcsd
Jhabua,13,6,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Katni,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Khandwa,232,36,184,12
state/ut,cnfrmd,actv,rcvd,dcsd
Khargone,119,16,95,8
state/ut,cnfrmd,actv,rcvd,dcsd
Mandla,2,0,1,1
state/ut,cnfrmd,actv,rcvd,dcsd
Mandsaur,90,28,54,8
state/ut,cnfrmd,actv,rcvd,dcsd
Morena,85,54,31,0
state/ut,cnfrmd,actv,rcvd,dcsd
Narsinghpur,5,5,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Neemuch,90,40,47,3
state/ut,cnfrmd,actv,rcvd,dcsd
Niwari,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Other Region,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Panna,4,3,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Raisen,68,1,64,3
state/ut,cnfrmd,actv,rcvd,dcsd
Rajgarh,3,3,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ratlam,31,4,27,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rewa,30,28,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sagar,86,64,19,3
state/ut,cnfrmd,actv,rcvd,dcsd
Satna,14,8,5,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sehore,5,2,2,1
state/ut,cnfrmd,actv,rcvd,dcsd
Seoni,2,1,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shahdol,7,4,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shajapur,9,1,7,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sheopur,6,2,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shivpuri,6,3,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sidhi,9,5,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Singrauli,11,11,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tikamgarh,6,2,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ujjain,601,299,248,54
state/ut,cnfrmd,actv,rcvd,dcsd
Umaria,5,4,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Vidisha,20,5,15,0
