state/ut,cnfrmd,actv,rcvd,dcsd
Ahmednagar,84,32,47,5
state/ut,cnfrmd,actv,rcvd,dcsd
Akola,437,235,185,17
state/ut,cnfrmd,actv,rcvd,dcsd
Amravati,193,96,83,14
state/ut,cnfrmd,actv,rcvd,dcsd
Aurangabad,1310,514,743,53
state/ut,cnfrmd,actv,rcvd,dcsd
Beed,32,31,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bhandara,14,13,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Buldhana,49,19,27,3
state/ut,cnfrmd,actv,rcvd,dcsd
Chandrapur,25,21,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dhule,129,58,62,9
state/ut,cnfrmd,actv,rcvd,dcsd
Gadchiroli,26,26,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gondia,47,46,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hingoli,133,41,92,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jalgaon,447,202,204,41
state/ut,cnfrmd,actv,rcvd,dcsd
Jalna,73,57,16,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kolhapur,340,321,18,1
state/ut,cnfrmd,actv,rcvd,dcsd
Latur,82,37,42,3
state/ut,cnfrmd,actv,rcvd,dcsd
Mumbai,32974,23896,8013,1065
state/ut,cnfrmd,actv,rcvd,dcsd
Mumbai Suburban,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nagpur,481,140,333,8
state/ut,cnfrmd,actv,rcvd,dcsd
Nanded,105,39,61,5
state/ut,cnfrmd,actv,rcvd,dcsd
Nandurbar,32,10,20,2
state/ut,cnfrmd,actv,rcvd,dcsd
Nashik,992,215,728,49
state/ut,cnfrmd,actv,rcvd,dcsd
Osmanabad,37,29,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,52,40,0,12
state/ut,cnfrmd,actv,rcvd,dcsd
Palghar,752,470,264,18
state/ut,cnfrmd,actv,rcvd,dcsd
Parbhani,25,23,1,1
state/ut,cnfrmd,actv,rcvd,dcsd
Pune,6335,3223,2830,282
state/ut,cnfrmd,actv,rcvd,dcsd
Raigad,845,398,430,17
state/ut,cnfrmd,actv,rcvd,dcsd
Ratnagiri,171,104,62,5
state/ut,cnfrmd,actv,rcvd,dcsd
Sangli,87,41,45,1
state/ut,cnfrmd,actv,rcvd,dcsd
Satara,339,206,128,5
state/ut,cnfrmd,actv,rcvd,dcsd
Sindhudurg,19,12,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Solapur,646,328,269,49
state/ut,cnfrmd,actv,rcvd,dcsd
Thane,7315,5052,2137,126
state/ut,cnfrmd,actv,rcvd,dcsd
Wardha,7,6,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Washim,8,7,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Yavatmal,115,24,91,0
