state/ut,cnfrmd,actv,rcvd,dcsd
Bishnupur,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chandel,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Churachandpur,17,17,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Imphal East,3,2,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Imphal West,10,9,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jiribam,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kakching,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kamjong,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kangpokpi,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Noney,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pherzawl,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Senapati,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tamenglong,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tengnoupal,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Thoubal,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ukhrul,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,8,6,2,0
