state/ut,cnfrmd,actv,rcvd,dcsd
East Garo Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Jaintia Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
East Khasi Hills,13,0,12,1
state/ut,cnfrmd,actv,rcvd,dcsd
North Garo Hills,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ribhoi,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South Garo Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South West Garo Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South West Khasi Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Garo Hills,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Jaintia Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Khasi Hills,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,5,5,0,0
