state/ut,cnfrmd,actv,rcvd,dcsd
Aizawl,1,0,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Champhai,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hnahthial,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Khawzawl,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kolasib,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lawngtlai,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lunglei,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mamit,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Saiha,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Saitual,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Serchhip,0,0,0,0
