state/ut,cnfrmd,actv,rcvd,dcsd
Dimapur,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kiphire,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kohima,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Longleng,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mokokchung,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mon,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Peren,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Phek,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tuensang,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Wokha,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Zunheboto,0,0,0,0
