state/ut,cnfrmd,actv,rcvd,dcsd
Angul,25,10,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Balangir,38,36,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Balasore,137,35,102,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bargarh,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bhadrak,106,60,46,0
state/ut,cnfrmd,actv,rcvd,dcsd
Boudh,33,29,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Cuttack,75,64,10,1
state/ut,cnfrmd,actv,rcvd,dcsd
Deogarh,24,22,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dhenkanal,7,6,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gajapati,10,10,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ganjam,358,83,272,3
state/ut,cnfrmd,actv,rcvd,dcsd
Jagatsinghpur,41,36,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jajpur,242,121,121,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jharsuguda,6,4,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kalahandi,15,13,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kandhamal,13,13,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kendrapara,61,34,27,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kendujhar,20,16,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Khordha,86,28,55,3
state/ut,cnfrmd,actv,rcvd,dcsd
Koraput,7,6,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Malkangiri,19,19,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mayurbhanj,15,4,11,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nabarangapur,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nayagarh,48,42,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nuapada,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Puri,85,67,18,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rayagada,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sambalpur,5,5,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Subarnapur,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sundargarh,37,10,27,0
