state/ut,cnfrmd,actv,rcvd,dcsd
Amritsar,331,28,297,6
state/ut,cnfrmd,actv,rcvd,dcsd
Barnala,22,1,20,1
state/ut,cnfrmd,actv,rcvd,dcsd
Bathinda,42,1,41,0
state/ut,cnfrmd,actv,rcvd,dcsd
Faridkot,62,1,61,0
state/ut,cnfrmd,actv,rcvd,dcsd
Fatehgarh Sahib,57,0,57,0
state/ut,cnfrmd,actv,rcvd,dcsd
Fazilka,44,0,44,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ferozepur,44,0,43,1
state/ut,cnfrmd,actv,rcvd,dcsd
Gurdaspur,132,7,122,3
state/ut,cnfrmd,actv,rcvd,dcsd
Hoshiarpur,110,17,88,5
state/ut,cnfrmd,actv,rcvd,dcsd
Jalandhar,230,28,196,6
state/ut,cnfrmd,actv,rcvd,dcsd
Kapurthala,36,3,30,3
state/ut,cnfrmd,actv,rcvd,dcsd
Ludhiana,175,33,135,7
state/ut,cnfrmd,actv,rcvd,dcsd
Mansa,32,0,32,0
state/ut,cnfrmd,actv,rcvd,dcsd
Moga,59,0,59,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pathankot,44,15,28,1
state/ut,cnfrmd,actv,rcvd,dcsd
Patiala,108,5,101,2
state/ut,cnfrmd,actv,rcvd,dcsd
Rupnagar,60,0,59,1
state/ut,cnfrmd,actv,rcvd,dcsd
S.A.S. Nagar,103,1,99,3
state/ut,cnfrmd,actv,rcvd,dcsd
Sangrur,89,1,88,0
state/ut,cnfrmd,actv,rcvd,dcsd
Shahid Bhagat Singh Nagar,106,4,101,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sri Muktsar Sahib,66,1,65,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tarn Taran,154,2,152,0
