state/ut,cnfrmd,actv,rcvd,dcsd
Ajmer,309,65,238,6
state/ut,cnfrmd,actv,rcvd,dcsd
Alwar,51,21,28,2
state/ut,cnfrmd,actv,rcvd,dcsd
Banswara,85,12,72,1
state/ut,cnfrmd,actv,rcvd,dcsd
Baran,5,1,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Barmer,91,90,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bharatpur,143,16,123,4
state/ut,cnfrmd,actv,rcvd,dcsd
Bhilwara,127,69,56,2
state/ut,cnfrmd,actv,rcvd,dcsd
Bikaner,85,32,50,3
state/ut,cnfrmd,actv,rcvd,dcsd
BSF Camp,50,8,42,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bundi,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chittorgarh,174,24,146,4
state/ut,cnfrmd,actv,rcvd,dcsd
Churu,85,34,50,1
state/ut,cnfrmd,actv,rcvd,dcsd
Dausa,45,15,30,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dholpur,43,19,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dungarpur,331,322,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Evacuees,61,0,61,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ganganagar,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hanumangarh,14,0,14,0
state/ut,cnfrmd,actv,rcvd,dcsd
Italians,2,0,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jaipur,1860,516,1263,81
state/ut,cnfrmd,actv,rcvd,dcsd
Jaisalmer,68,24,44,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jalore,154,132,20,2
state/ut,cnfrmd,actv,rcvd,dcsd
Jhalawar,71,23,48,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jhunjhunu,96,44,52,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jodhpur,1278,267,994,17
state/ut,cnfrmd,actv,rcvd,dcsd
Karauli,10,4,4,2
state/ut,cnfrmd,actv,rcvd,dcsd
Kota,396,67,313,16
state/ut,cnfrmd,actv,rcvd,dcsd
Nagaur,404,249,148,7
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,12,5,0,7
state/ut,cnfrmd,actv,rcvd,dcsd
Pali,360,274,80,6
state/ut,cnfrmd,actv,rcvd,dcsd
Pratapgarh,13,9,3,1
state/ut,cnfrmd,actv,rcvd,dcsd
Rajsamand,126,93,32,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sawai Madhopur,19,5,13,1
state/ut,cnfrmd,actv,rcvd,dcsd
Sikar,151,119,28,4
state/ut,cnfrmd,actv,rcvd,dcsd
Sirohi,139,133,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tonk,159,0,158,1
state/ut,cnfrmd,actv,rcvd,dcsd
Udaipur,517,396,120,1
