state/ut,cnfrmd,actv,rcvd,dcsd
Railway Quarantine,23,23,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Airport Quarantine,86,84,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,1,0,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Ariyalur,357,9,348,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chengalpattu,853,588,258,7
state/ut,cnfrmd,actv,rcvd,dcsd
Chennai,11641,6055,5492,94
state/ut,cnfrmd,actv,rcvd,dcsd
Coimbatore,145,0,144,1
state/ut,cnfrmd,actv,rcvd,dcsd
Cuddalore,435,20,414,1
state/ut,cnfrmd,actv,rcvd,dcsd
Dharmapuri,8,3,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dindigul,134,21,112,1
state/ut,cnfrmd,actv,rcvd,dcsd
Erode,71,1,69,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kallakurichi,154,61,93,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kancheepuram,312,128,183,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kanyakumari,58,30,27,1
state/ut,cnfrmd,actv,rcvd,dcsd
Karur,80,13,67,0
state/ut,cnfrmd,actv,rcvd,dcsd
Krishnagiri,25,6,19,0
state/ut,cnfrmd,actv,rcvd,dcsd
Madurai,234,110,122,2
state/ut,cnfrmd,actv,rcvd,dcsd
Nagapattinam,51,0,51,0
state/ut,cnfrmd,actv,rcvd,dcsd
Namakkal,77,0,77,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nilgiris,14,1,13,0
state/ut,cnfrmd,actv,rcvd,dcsd
Perambalur,139,4,135,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pudukkottai,21,14,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ramanathapuram,64,33,30,1
state/ut,cnfrmd,actv,rcvd,dcsd
Ranipet,97,21,76,0
state/ut,cnfrmd,actv,rcvd,dcsd
Salem,68,33,35,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sivaganga,28,2,26,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tenkasi,85,32,53,0
state/ut,cnfrmd,actv,rcvd,dcsd
Thanjavur,84,17,67,0
state/ut,cnfrmd,actv,rcvd,dcsd
Theni,108,43,63,2
state/ut,cnfrmd,actv,rcvd,dcsd
Thiruvallur,793,318,467,8
state/ut,cnfrmd,actv,rcvd,dcsd
Thiruvarur,38,6,32,0
state/ut,cnfrmd,actv,rcvd,dcsd
Thoothukkudi,186,127,57,2
state/ut,cnfrmd,actv,rcvd,dcsd
Tiruchirappalli,76,9,67,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tirunelveli,298,176,121,1
state/ut,cnfrmd,actv,rcvd,dcsd
Tirupathur,31,5,26,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tiruppur,114,0,114,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tiruvannamalai,242,151,90,1
state/ut,cnfrmd,actv,rcvd,dcsd
Vellore,42,10,31,1
state/ut,cnfrmd,actv,rcvd,dcsd
Viluppuram,327,22,303,2
state/ut,cnfrmd,actv,rcvd,dcsd
Virudhunagar,128,82,46,0
