state/ut,cnfrmd,actv,rcvd,dcsd
Foreign Evacuees,28,28,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,155,155,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Adilabad,21,6,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bhadradri Kothagudem,4,0,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hyderabad,1216,888,305,23
state/ut,cnfrmd,actv,rcvd,dcsd
Jagtial,4,2,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jangaon,3,2,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jayashankar Bhupalapally,3,3,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jogulamba Gadwal,45,19,25,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kamareddy,12,4,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Karimnagar,19,3,16,0
state/ut,cnfrmd,actv,rcvd,dcsd
Khammam,8,5,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Komaram Bheem,7,5,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mahabubabad,1,0,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mahabubnagar,11,3,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Mancherial,1,0,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Medak,5,1,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Medchal Malkajgiri,31,21,9,1
state/ut,cnfrmd,actv,rcvd,dcsd
Mulugu,2,0,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nagarkurnool,2,0,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nalgonda,18,6,12,0
state/ut,cnfrmd,actv,rcvd,dcsd
Narayanpet,2,1,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Nirmal,20,7,13,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nizamabad,61,31,30,0
state/ut,cnfrmd,actv,rcvd,dcsd
Peddapalli,2,1,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rajanna Sircilla,3,1,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ranga Reddy,56,37,17,2
state/ut,cnfrmd,actv,rcvd,dcsd
Sangareddy,9,3,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Siddipet,1,0,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Suryapet,84,60,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Vikarabad,38,22,15,1
state/ut,cnfrmd,actv,rcvd,dcsd
Wanaparthy,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Warangal Rural,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Warangal Urban,27,4,23,0
state/ut,cnfrmd,actv,rcvd,dcsd
Yadadri Bhuvanagiri,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,92,-668,733,27
