state/ut,cnfrmd,actv,rcvd,dcsd
Agra,866,102,731,33
state/ut,cnfrmd,actv,rcvd,dcsd
Aligarh,129,56,59,14
state/ut,cnfrmd,actv,rcvd,dcsd
Ambedkar Nagar,49,45,2,2
state/ut,cnfrmd,actv,rcvd,dcsd
Amethi,80,71,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Amroha,59,27,31,1
state/ut,cnfrmd,actv,rcvd,dcsd
Auraiya,22,7,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ayodhya,70,66,1,3
state/ut,cnfrmd,actv,rcvd,dcsd
Azamgarh,55,44,9,2
state/ut,cnfrmd,actv,rcvd,dcsd
Baghpat,29,5,24,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bahraich,74,39,35,0
state/ut,cnfrmd,actv,rcvd,dcsd
Ballia,32,32,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Balrampur,36,25,11,0
state/ut,cnfrmd,actv,rcvd,dcsd
Banda,23,2,21,0
state/ut,cnfrmd,actv,rcvd,dcsd
Barabanki,142,119,22,1
state/ut,cnfrmd,actv,rcvd,dcsd
Bareilly,51,39,10,2
state/ut,cnfrmd,actv,rcvd,dcsd
Basti,143,97,43,3
state/ut,cnfrmd,actv,rcvd,dcsd
Bhadohi,30,27,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bijnor,80,33,45,2
state/ut,cnfrmd,actv,rcvd,dcsd
Budaun,36,19,17,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bulandshahr,108,27,79,2
state/ut,cnfrmd,actv,rcvd,dcsd
Chandauli,21,21,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chitrakoot,29,12,15,2
state/ut,cnfrmd,actv,rcvd,dcsd
Deoria,60,51,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Etah,16,4,9,3
state/ut,cnfrmd,actv,rcvd,dcsd
Etawah,46,43,2,1
state/ut,cnfrmd,actv,rcvd,dcsd
Farrukhabad,25,17,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Fatehpur,41,33,8,0
state/ut,cnfrmd,actv,rcvd,dcsd
Firozabad,227,28,190,9
state/ut,cnfrmd,actv,rcvd,dcsd
Gautam Buddha Nagar,362,123,234,5
state/ut,cnfrmd,actv,rcvd,dcsd
Ghaziabad,243,48,193,2
state/ut,cnfrmd,actv,rcvd,dcsd
Ghazipur,92,73,19,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gonda,52,24,28,0
state/ut,cnfrmd,actv,rcvd,dcsd
Gorakhpur,60,48,8,4
state/ut,cnfrmd,actv,rcvd,dcsd
Hamirpur,6,4,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hapur,109,45,63,1
state/ut,cnfrmd,actv,rcvd,dcsd
Hardoi,38,32,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hathras,22,2,20,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jalaun,43,6,35,2
state/ut,cnfrmd,actv,rcvd,dcsd
Jaunpur,138,115,21,2
state/ut,cnfrmd,actv,rcvd,dcsd
Jhansi,32,2,26,4
state/ut,cnfrmd,actv,rcvd,dcsd
Kannauj,38,16,22,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kanpur Dehat,15,11,3,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kanpur Nagar,337,25,301,11
state/ut,cnfrmd,actv,rcvd,dcsd
Kasganj,15,8,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kaushambi,47,38,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kushinagar,10,6,3,1
state/ut,cnfrmd,actv,rcvd,dcsd
Lakhimpur Kheri,62,47,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lalitpur,2,1,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Lucknow,335,55,278,2
