state/ut,cnfrmd,actv,rcvd,dcsd
Almora,15,12,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bageshwar,8,8,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chamoli,11,11,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Champawat,8,8,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dehradun,79,40,35,4
state/ut,cnfrmd,actv,rcvd,dcsd
Haridwar,28,21,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nainital,136,126,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pauri Garhwal,10,9,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Pithoragarh,17,17,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Rudraprayag,3,3,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tehri Garhwal,25,25,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Udham Singh Nagar,50,43,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Uttarkashi,10,9,1,0
