state/ut,cnfrmd,actv,rcvd,dcsd
Alipurduar,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bankura,3,3,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Birbhum,32,25,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Cooch Behar,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dakshin Dinajpur,6,6,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Darjeeling,13,6,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Hooghly,235,108,120,7
state/ut,cnfrmd,actv,rcvd,dcsd
Howrah,833,521,274,38
state/ut,cnfrmd,actv,rcvd,dcsd
Jalpaiguri,7,3,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jhargram,3,0,3,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kalimpong,7,0,6,1
state/ut,cnfrmd,actv,rcvd,dcsd
Kolkata,1751,850,715,186
state/ut,cnfrmd,actv,rcvd,dcsd
Malda,115,100,15,0
state/ut,cnfrmd,actv,rcvd,dcsd
Murshidabad,62,52,8,2
state/ut,cnfrmd,actv,rcvd,dcsd
Nadia,30,21,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
North 24 Parganas,504,281,185,38
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,43,33,8,2
state/ut,cnfrmd,actv,rcvd,dcsd
Paschim Bardhaman,39,27,10,2
state/ut,cnfrmd,actv,rcvd,dcsd
Paschim Medinipur,26,7,19,0
state/ut,cnfrmd,actv,rcvd,dcsd
Purba Bardhaman,36,30,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Purba Medinipur,65,31,33,1
state/ut,cnfrmd,actv,rcvd,dcsd
Purulia,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South 24 Parganas,137,81,51,5
state/ut,cnfrmd,actv,rcvd,dcsd
Uttar Dinajpur,47,40,7,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,15,15,0,0
